date,category,Exports_US$,volume,unit_price
9/1/2019,Cotton Cloth,174663000,194825000,
9/1/2019,Cotton Crd/Cmd,0,0,
9/1/2019,Non-Cotton Yarn,2314000,918,
9/1/2019,Knitwear,238910000,9215000,25.92620727
9/1/2019,Bedwear,200579000,41287,4.858163587
9/1/2019,Towels,55066000,12852,4.284624961
9/1/2019,"Tents, Tarpaulines",5484000,2104,
9/1/2019,Garments,199108000,4336000,45.9197417
9/1/2019,Artificial Silk & Synthetics,25870000,29926,
9/1/2019,Madeups (excl. towels & bedwear),47736000,0,
9/1/2019,Other Textiles,29129000,0,
10/1/2019,Raw Cotton,1386000,974,
10/1/2019,Cotton Yarn,90273000,35372,2.552103359
10/1/2019,Cotton Cloth,179393000,192938000,
10/1/2019,Cotton Crd/Cmd,0,0,
10/1/2019,Non-Cotton Yarn,2714000,1118,
10/1/2019,Knitwear,274646000,10300000,26.66466019
10/1/2019,Bedwear,217105000,44432,4.886230645
10/1/2019,Towels,71478000,16531,4.323876354
10/1/2019,"Tents, Tarpaulines",8488000,3230,
10/1/2019,Garments,238797000,5182000,46.08201467
10/1/2019,Artificial Silk & Synthetics,30594000,35038,
10/1/2019,Madeups (excl. towels & bedwear),60694000,0,
10/1/2019,Other Textiles,39326000,0,
11/1/2019,Raw Cotton,2069000,1544,
11/1/2019,Cotton Yarn,98506000,41788,2.357279602
11/1/2019,Cotton Cloth,168324000,184112000,
11/1/2019,Cotton Crd/Cmd,0,0,
11/1/2019,Non-Cotton Yarn,2716000,1141,
11/1/2019,Knitwear,266821000,10400000,25.65586538
11/1/2019,Bedwear,195518000,39439,4.957478638
11/1/2019,Towels,65377000,15601,4.190564707
11/1/2019,"Tents, Tarpaulines",7528000,3295,
11/1/2019,Garments,250254000,5563000,44.98543951
11/1/2019,Artificial Silk & Synthetics,27363000,31036,
11/1/2019,Madeups (excl. towels & bedwear),57090000,0,
11/1/2019,Other Textiles,35338000,0,
12/1/2019,Raw Cotton,1050000,806,
12/1/2019,Cotton Yarn,58131000,23702,2.452577842
12/1/2019,Cotton Cloth,166217000,180524000,
12/1/2019,Cotton Crd/Cmd,0,0,
12/1/2019,Non-Cotton Yarn,1861000,750,
12/1/2019,Knitwear,266233000,11302000,23.55627323
12/1/2019,Bedwear,184283000,35232,5.230557448
12/1/2019,Towels,61938000,14633,4.232761566
12/1/2019,"Tents, Tarpaulines",7813000,3454,
12/1/2019,Garments,256575000,5121000,50.10251904
12/1/2019,Artificial Silk & Synthetics,31366000,34707,
12/1/2019,Madeups (excl. towels & bedwear),57030000,0,
12/1/2019,Other Textiles,49123000,0,
1/1/2020,Raw Cotton,556000,420,
1/1/2020,Cotton Yarn,95625000,40454,2.363795916
1/1/2020,Cotton Cloth,175667000,175277000,
1/1/2020,Cotton Crd/Cmd,0,0,
1/1/2020,Non-Cotton Yarn,1759000,796,
1/1/2020,Knitwear,245002000,10241000,23.92364027
1/1/2020,Bedwear,194082000,32229,6.021967793
1/1/2020,Towels,65261000,14952,4.364700375
1/1/2020,"Tents, Tarpaulines",10009000,3775,
1/1/2020,Garments,268964000,4171000,64.48429633
1/1/2020,Artificial Silk & Synthetics,32588000,35442,
1/1/2020,Madeups (excl. towels & bedwear),55659000,0,
1/1/2020,Other Textiles,49400000,0,
2/1/2020,Raw Cotton,914000,701,
2/1/2020,Cotton Yarn,97645000,40210,2.428376026
2/1/2020,Cotton Cloth,190019000,183206000,
2/1/2020,Cotton Crd/Cmd,32000,25,
2/1/2020,Non-Cotton Yarn,2606000,1044,
2/1/2020,Knitwear,258350000,14857000,17.38910951
2/1/2020,Bedwear,205843000,34531,5.961107411
2/1/2020,Towels,79520000,17514,4.540367706
2/1/2020,"Tents, Tarpaulines",12090000,3153,
2/1/2020,Garments,280572000,4252000,65.98588899
2/1/2020,Artificial Silk & Synthetics,31725000,34224,
2/1/2020,Madeups (excl. towels & bedwear),60202000,0,
2/1/2020,Other Textiles,54621000,0,
3/1/2020,Raw Cotton,208000,155,
3/1/2020,Cotton Yarn,82393000,33666,2.447365294
3/1/2020,Cotton Cloth,169167000,172929000,
3/1/2020,Cotton Crd/Cmd,0,0,
3/1/2020,Non-Cotton Yarn,2064000,893,
3/1/2020,Knitwear,209761000,10721000,19.56543233
3/1/2020,Bedwear,163689000,28438,5.755995499
3/1/2020,Towels,67322000,15593,4.317450138
3/1/2020,"Tents, Tarpaulines",10515000,3306,
3/1/2020,Garments,209048000,3403000,61.4305025
3/1/2020,Artificial Silk & Synthetics,29657000,34807,
3/1/2020,Madeups (excl. towels & bedwear),53002000,0,
3/1/2020,Other Textiles,42879000,0,
4/1/2020,Raw Cotton,233000,0,
4/1/2020,Cotton Yarn,38772000,16192,2.39451581
4/1/2020,Cotton Cloth,54048000,56645000,
4/1/2020,Cotton Crd/Cmd,0,0,
4/1/2020,Non-Cotton Yarn,1113000,496,
4/1/2020,Knitwear,92275000,4598000,20.06850805
4/1/2020,Bedwear,76795000,13368,5.744688809
4/1/2020,Towels,18326000,4600,3.983913043
4/1/2020,"Tents, Tarpaulines",6340000,1874,
4/1/2020,Garments,61398000,1024000,59.95898438
4/1/2020,Artificial Silk & Synthetics,11750000,14154,
4/1/2020,Madeups (excl. towels & bedwear),21039000,0,
4/1/2020,Other Textiles,21978000,0,
5/1/2020,Raw Cotton,0,0,
5/1/2020,Cotton Yarn,52000000,23349,2.227076106
5/1/2020,Cotton Cloth,98272000,108490000,
5/1/2020,Cotton Crd/Cmd,0,0,
5/1/2020,Non-Cotton Yarn,2037000,841,
5/1/2020,Knitwear,180926000,6548000,27.63072694
5/1/2020,Bedwear,146055000,24562,5.946380588
5/1/2020,Towels,41655000,10047,4.146013735
5/1/2020,"Tents, Tarpaulines",9420000,2954,
5/1/2020,Garments,135610000,2309000,58.7310524
5/1/2020,Artificial Silk & Synthetics,17604000,22500,
5/1/2020,Madeups (excl. towels & bedwear),34590000,0,
5/1/2020,Other Textiles,32959000,0,
6/1/2020,Raw Cotton,0,0,
6/1/2020,Cotton Yarn,74323000,35984,2.065445754
6/1/2020,Cotton Cloth,130191000,165137000,
6/1/2020,Cotton Crd/Cmd,0,0,
6/1/2020,Non-Cotton Yarn,1690000,716,
6/1/2020,Knitwear,221370000,7654000,28.92213222
6/1/2020,Bedwear,166332000,27680,6.009104046
6/1/2020,Towels,58914000,13931,4.228985715
6/1/2020,"Tents, Tarpaulines",10496000,3072,
6/1/2020,Garments,184987000,2535000,72.97317554
6/1/2020,Artificial Silk & Synthetics,24245000,35027,
6/1/2020,Madeups (excl. towels & bedwear),42507000,0,
6/1/2020,Other Textiles,44075000,0,
7/1/2020,Raw Cotton,0,0,
7/1/2020,Cotton Yarn,60523000,28448,2.127495782
7/1/2020,Cotton Cloth,149380000,164120000,
7/1/2020,Cotton Crd/Cmd,0,0,
7/1/2020,Non-Cotton Yarn,1787000,698,
7/1/2020,Knitwear,315700000,11354000,27.80517879
7/1/2020,Bedwear,243196000,41082,5.919770216
7/1/2020,Towels,77823000,18125,4.293682759
7/1/2020,"Tents, Tarpaulines",12005000,3417,
7/1/2020,Garments,274246000,3787000,72.41774492
7/1/2020,Artificial Silk & Synthetics,28388000,35067,
7/1/2020,Madeups (excl. towels & bedwear),60805000,0,
7/1/2020,Other Textiles,48758000,0,
8/1/2020,Raw Cotton,230000,206,
8/1/2020,Cotton Yarn,54613000,25472,2.144040515
8/1/2020,Cotton Cloth,145343000,189630000,
8/1/2020,Cotton Crd/Cmd,0,0,
8/1/2020,Non-Cotton Yarn,1696000,750,
8/1/2020,Knitwear,248644000,7767000,32.01287498
8/1/2020,Bedwear,180989000,30249,5.983305233
8/1/2020,Towels,55281000,12794,4.320853525
8/1/2020,"Tents, Tarpaulines",7499000,2418,
8/1/2020,Garments,202979000,2450000,82.84857143
8/1/2020,Artificial Silk & Synthetics,23223000,25999,
8/1/2020,Madeups (excl. towels & bedwear),49040000,0,
8/1/2020,Other Textiles,37974000,0,
9/1/2020,Raw Cotton,41000,34,
9/1/2020,Cotton Yarn,55339000,25472,2.172542399
9/1/2020,Cotton Cloth,162336000,207108000,
9/1/2020,Cotton Crd/Cmd,0,0,
9/1/2020,Non-Cotton Yarn,2111000,865,
9/1/2020,Knitwear,296442000,10254000,28.90988882
9/1/2020,Bedwear,227300000,37867,6.002588005
9/1/2020,Towels,71504000,16884,4.235015399
9/1/2020,"Tents, Tarpaulines",8680000,3072,
9/1/2020,Garments,224226000,2650000,84.61358491
9/1/2020,Artificial Silk & Synthetics,24002000,25140,
